review,rating,date,bank,source,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_label,identified_themes
Best,5,2025-05-26,CBE,Google Play,0.0,0.0,1.0,0.6369,positive,Other
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,0.0,0.689,0.311,0.9041,positive,User Interface & Experience
nice,5,2025-05-26,CBE,Google Play,0.0,0.0,1.0,0.4215,positive,Other
good job,5,2025-05-26,CBE,Google Play,0.0,0.256,0.744,0.4404,positive,Other
Good,5,2025-05-25,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
it's awesome!!,5,2025-05-25,CBE,Google Play,0.0,0.176,0.824,0.6892,positive,Other
best,5,2025-05-25,CBE,Google Play,0.0,0.0,1.0,0.6369,positive,Other
thankyou every one,5,2025-05-25,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
best app,5,2025-05-25,CBE,Google Play,0.0,0.192,0.808,0.6369,positive,User Interface & Experience
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,0.0,0.563,0.437,0.4767,positive,Other
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,0.0,0.525,0.475,0.9377,positive,"User Interface & Experience, Customer Support"
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,0.126,0.84,0.034,-0.7841,negative,"Account Access Issues, User Interface & Experience, Customer Support, Feature Requests"
mortuary app,5,2025-05-25,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,User Interface & Experience
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,0.0,0.915,0.085,0.2144,positive,User Interface & Experience
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,0.0,0.703,0.297,0.5859,positive,User Interface & Experience
👍,5,2025-05-24,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
good app,5,2025-05-24,CBE,Google Play,0.0,0.256,0.744,0.4404,positive,User Interface & Experience
i love it 😍😘,5,2025-05-24,CBE,Google Play,0.0,0.444,0.556,0.875,positive,Other
It makes life easy!👌,5,2025-05-24,CBE,Google Play,0.0,0.243,0.757,0.8528,positive,Other
its not fast,1,2025-05-24,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
wow,4,2025-05-24,CBE,Google Play,0.0,0.0,1.0,0.5859,positive,Other
it is sooo good,5,2025-05-24,CBE,Google Play,0.0,0.508,0.492,0.4404,positive,Other
excellent,5,2025-05-24,CBE,Google Play,0.0,0.0,1.0,0.5719,positive,Other
ok,1,2025-05-24,CBE,Google Play,0.0,0.0,1.0,0.296,positive,Other
Fantastic,5,2025-05-23,CBE,Google Play,0.0,0.0,1.0,0.5574,positive,Other
accessible to using,5,2025-05-23,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Account Access Issues
I like it,4,2025-05-23,CBE,Google Play,0.0,0.444,0.556,0.3612,positive,Other
good,5,2025-05-23,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
why you change default network?,5,2025-05-23,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
very nice 👍,5,2025-05-23,CBE,Google Play,0.0,0.492,0.508,0.4754,positive,Other
good,5,2025-05-23,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
nice fast app,5,2025-05-23,CBE,Google Play,0.0,0.417,0.583,0.4215,positive,User Interface & Experience
good,5,2025-05-23,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
best,5,2025-05-23,CBE,Google Play,0.0,0.0,1.0,0.6369,positive,Other
how to I get my money,5,2025-05-23,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,0.242,0.574,0.185,-0.2247,negative,"Customer Support, Feature Requests"
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,0.0,0.686,0.314,0.6183,positive,User Interface & Experience
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,0.239,0.517,0.244,0.0343,neutral,Other
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,0.156,0.844,0.0,-0.3804,negative,User Interface & Experience
hojii bonsaadha,5,2025-05-22,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
